기간,자치구,살인,강도,강간강제추행,절도,폭력
2016,종로구,6,12,238,1940,2263
2016,중구,3,8,198,2150,2225
2016,용산구,4,9,251,1489,2384
2016,성동구,4,3,104,1296,1619
2016,광진구,4,11,279,2636,2392
2016,동대문구,5,10,190,1940,2642
2016,중랑구,8,14,164,1691,3164
2016,성북구,4,8,154,1470,2108
2016,강북구,7,5,217,1222,2778
2016,도봉구,3,5,123,866,1441
2016,노원구,5,6,159,1857,2516
2016,은평구,6,9,156,1666,2664
2016,서대문구,6,5,175,1503,1976
2016,마포구,4,4,399,2527,2939
2016,양천구,5,7,131,1719,2250
2016,강서구,9,10,275,1952,3204
2016,구로구,9,10,273,1910,3164
2016,금천구,6,7,175,1264,2193
2016,영등포구,13,19,356,2341,3593
2016,동작구,8,7,325,1226,1661
2016,관악구,6,12,322,2103,3235
2016,서초구,5,13,428,2205,2338
2016,강남구,5,39,516,3587,4002
2016,송파구,9,15,234,2543,3289
2016,강동구,4,14,160,1754,2530
